username,date,year,month,day,hour,minute,second,text,text_clean,sentiment
ViniciusNikolod,2018-09-09 17:11:37-07:00,2018,9,9,17,11,37,RT @dntav_ian: @pdevechi Arrisca ser o debate mais produtivo do primeiro turno,@dntav_ian : @pdevechi arriscar o debater produtivo turno,1
varelaandre,2018-09-09 17:11:43-07:00,2018,9,9,17,11,43,"RT @Ricamconsult: Hoje à noite, teremos o debate presidencial mais esvaziado da História. Lula na prisão, Bolsonaro no hospital, Daciolo de…","@ricamconsult : , o debater presidencial esvaziar história . lula o prisão , bolsonaro o hospital , daciolo …",-1
PasiniK,2018-09-09 17:11:47-07:00,2018,9,9,17,11,47,"Se avexe não, que debate com #Ciro12 é muito melhor! Logo mais na TV Gazeta 18 horas! Ao vivo: https://t.co/SoK35zlX0R #GazetaEstadaoJP","avexe , debater ciro12 melhor ! o tv gazeta 18 horar ! o o viver : https://t.co/sok35zlx0r gazetaestadaojp",1
RafaelFR15,2018-09-09 17:11:52-07:00,2018,9,9,17,11,52,#GazetaEstadaoJP kd o Amoedo no debate??? Não são a favor da mudança pelo jeito né. Chama lo não infringe nenhuma l… https://t.co/hyFS1z1EjQ,gazetaestadaojp kd o amoedar o debater ? ? ? o mudança pelar jeito né . chamar o infringir nenhum l … https://t.co/hyfs1z1ejq,-1
fabiolamazzulli,2018-09-09 17:11:54-07:00,2018,9,9,17,11,54,"Por que não chamam o @joaoamoedonovo ??? Garanto que ele deixaria o debate interessante!!
#VemComJoão30… https://t.co/m3Ob27LzQv",chamar o @joaoamoedonovo ? ? ? garantir deixar o debater interessante ! ! vemcomjoão30 … https://t.co/m3ob27lzqv,-1
alonatalia,2018-09-09 17:12:08-07:00,2018,9,9,17,12,8,é muito ruim debater eu mesma não tenho mais saúde para o debate,ruim debater saudar parir o debater,-1
ViniciusNikolod,2018-09-09 17:12:23-07:00,2018,9,9,17,12,23,"RT @pdevechi: Com exceção do Amoedo, a ausência dos outros só vai melhorar a qualidade do debate https://t.co/jeVsLLfw3n","@pdevechi : exceção amoedar , o ausência só melhorar o qualidade debater https://t.co/jevsllfw3n",1
FrancielyMcosta,2018-09-09 17:12:48-07:00,2018,9,9,17,12,48,"Totalmente ridículo!
#AmoedoNosDebates 
#VemComJoão30",totalmente ridículo ! amoedonosdebates vemcomjoão30,-1
brunoamora,2018-09-09 17:14:20-07:00,2018,9,9,17,14,20,"@MomentsBrasil Quando no debate estiverem todos os candidatos que disputam a Presidência, ai sim irei assistir. Principalmente o João Amoedo","@momentsbrasil o debater o candidato disputar o presidência , ai irar assistir . principalmente o joão amoedar",-1
Fe_legal,2018-09-09 17:14:54-07:00,2018,9,9,17,14,54,"Sim, eu quero #JoãoAmoedo @joaoamoedonovo no Debate da Gazeta.

#GazetaEstadaoJP
 #Eleições2018",", querer joãoamoedo @joaoamoedonovo o debater gazeta . gazetaestadaojp eleições2018",1
Pedro_henriqz,2018-09-09 17:15:24-07:00,2018,9,9,17,15,24,"Pra você saber se Bolsonaro vai ou não ganhar as eleições, comparem a audiência que esse debate de hoje terá, com o… https://t.co/kPEBAHA5wv","pra bolsonaro ganhar o eleição , comparar o audiência debater , o … https://t.co/kpebaha5wv",1
JenioQuadros,2018-09-09 17:17:32-07:00,2018,9,9,17,17,32,"Muito ruim jogo do Corinthians antes do debate, você vai com uma certa tristeza com um olhar triste da realidade","ruim jogar corinthians antar debater , umar certo tristeza olhar triste realidade",-1
sistemas_0sx,2018-09-09 17:18:01-07:00,2018,9,9,17,18,1,"RT @tacitto: E o @joaoamoedonovo ?? Vão fazer essa vergonha de novo de não chamar o candidato? Shame shame shame...
#AmoedoNosDebates #Joao…",@tacitto : e o @joaoamoedonovo ? ? vergonha chamar o candidatar ? shame shame shame ... amoedonosdebates joao …,-1
megduraes,2018-09-09 17:18:36-07:00,2018,9,9,17,18,36,Tô achando que vai ser o primeiro debate sobre propostas finalmente! Exceto se algum candidato resolver protagoniza… https://t.co/uVIh8SjpwW,tô achar o debater sobrar proposto finalmente ! exceto algum candidatar resolver protagonizar … https://t.co/uvih8sjpww,1
MarcimVianna,2018-09-09 17:19:01-07:00,2018,9,9,17,19,1,"Ciro Gomes sabe o que diz. Tem projeto mesmo.

#Ciro12 #GazetaEstadaoJP",ciro gomar o . projeto . ciro12 gazetaestadaojp,1
CherieBlesse,2018-09-09 17:19:06-07:00,2018,9,9,17,19,6,"""queremos chamar pro debate mas eles não querem"" 

kkkk quem tá fugindo do debate?",""" querer chamar pro debater querer "" kkkk tá fugir debater ?",1
figueiraFABIO,2018-09-09 17:20:01-07:00,2018,9,9,17,20,1,"Tem Debate entre os presidentes hoje.

Só se fala em outra coisa. Você nem sabia, né?","debater entrar o presidente . só falir . , né ?",-1
carlos_gf84,2018-09-09 17:20:26-07:00,2018,9,9,17,20,26,Logo mais estarei atento na TV Gazeta para mais um debate entre os candidatos a presidência da república. #Ciro12,atentar o tv gazeta parir debater entrar o candidato o presidência repúblico . ciro12,1
cvictor_o,2018-09-09 17:22:48-07:00,2018,9,9,17,22,48,Debate vai ser transmitido em algum canto na internet?,debater transmitir algum cantar o internet ?,1
MariaAngelicaS4,2018-09-09 17:22:51-07:00,2018,9,9,17,22,51,Será realmente difícil engolir esse debate sem Bolsonaro.,realmente difícil engolir debater bolsonaro .,-1
Carlos1Gimenes,2018-09-09 17:22:57-07:00,2018,9,9,17,22,57,"Depois do debate muito melhor na rede tv, ansioso para ver como será o de hoje, 18 horas.
Quero ver especialmente a… https://t.co/7U5BWikGyo","debater melhor o redar tv , ansioso parir comer o , 18 horar . querer especialmente o … https://t.co/7u5bwikgyo",1
p_adimilson,2018-09-09 17:23:04-07:00,2018,9,9,17,23,4,"RT @MamoruVargas: Hoje tem debate na #GazetaEstadaoJP 
essa é mais uma oportunidade para analisar as propostas dos candidatos para o futuro…",@mamoruvargas : debater o gazetaestadaojp umar oportunidade parir analisar o proposto candidato parir o futurar …,1
FlaIronico027,2018-09-09 17:23:25-07:00,2018,9,9,17,23,25,"@Estadao Cadê o @joaoamoedonovo no Debate? Um candidato que tem entre 3% e 5% de votos no primeiro turno, não é con… https://t.co/KfmF4oQNG3","@estadao cadê o @joaoamoedonovo o debater ? candidatar entrar 3 % e 5 % voto o turno , con … https://t.co/kfmf4oqng3",-1
deanfabio_,2018-09-09 17:23:31-07:00,2018,9,9,17,23,31,Cabo Daciolo não vai no debate hj ? MEU DEBATE TÁ MORTO #DebateGazeta,cabo daciolo o debater hj ? debater tá morto debategazeta,-1
ValorVieira,2018-09-09 17:24:00-07:00,2018,9,9,17,24,0,"@Estadao Debate sem o maior candidato Jair Bolsonaro? 
Debater o que?",@estadao debater o candidatar jair bolsonaro ? debater o ?,-1
ChristianBr87,2018-09-09 17:24:18-07:00,2018,9,9,17,24,18,Do que adianta ter debate sem o Cabo Daciolo?,adiantar debater o cabo daciolo ?,-1
VAFerreira1975,2018-09-09 17:24:45-07:00,2018,9,9,17,24,45,"RT @lindberghfarias: O nome disso é PERSEGUIÇÃO e CENSURA. É escandaloso, querem proibir a simples menção ao nome do Lula! É muito medo da…","@lindberghfarias : o d perseguição e censurar . escandaloso , querer proibir o simples menção o o lula ! medo …",-1
MarcimVianna,2018-09-09 17:25:00-07:00,2018,9,9,17,25,0,"Ouvir quem algo a dizer.
Eu fico com o otimismo, com a esperança.

#Ciro12 #GazetaEstadaoJP","ouvir o . ficar o otimismo , o esperançar . ciro12 gazetaestadaojp",1
MarcimVianna,2018-09-09 17:25:42-07:00,2018,9,9,17,25,42,"Eu fico com o otimismo, com a esperança.

#Ciro12 #GazetaEstadaoJP","ficar o otimismo , o esperançar . ciro12 gazetaestadaojp",1
apeswish,2018-09-09 17:26:46-07:00,2018,9,9,17,26,46,vou perder o debate na gazeta :(,perder o debater o gazeta :(,-1
antoniense,2018-09-09 17:36:57-07:00,2018,9,9,17,36,57,"Bom, eu no dia de hoje fui exatamente o ciro Gomes bebendo uma cerveja na rodoviária",", o exatamente o ciro gomar beber umar cervejar o rodoviário",-1
FilhoGurgel,2018-09-09 17:36:57-07:00,2018,9,9,17,36,57,Hoje tem debate presidencial @Estadao e não veremos Bolsoanro pagar mico.,debater presidencial @estadao e bolsoanro pagar mico .,1
DuroLocus,2018-09-09 17:37:00-07:00,2018,9,9,17,37,0,"Rapaz, e hoje tem debate na Gazeta","rapaz , e debater o gazeta",1
GeanKleber,2018-09-09 17:40:37-07:00,2018,9,9,17,40,37,Se não tiver o PSL não entra na minha agenda. Então esclareça os participantes.,o psl entrar o agendar . esclarecer o participante .,-1
crfmilas,2018-09-09 17:41:24-07:00,2018,9,9,17,41,24,debate uma hora dessas pqp,debater umar horar d pqp,-1
Temujin1206,2018-09-09 17:50:26-07:00,2018,9,9,17,50,26,Muito estranho não terem convidado o @joaoamoedonovo!,estranhar convidar o @joaoamoedonovo !,-1
Raphaak,2018-09-09 17:52:14-07:00,2018,9,9,17,52,14,Que nada a ver debate 18h de um Domingo,nado o debater 18h domingo,-1
DanielBal0gh,2018-09-09 17:53:10-07:00,2018,9,9,17,53,10,"Em dia de debate, eu me sinto em jogo do Brasil na copa. #Ciro12 #Lulalá","debater , sentir jogar brasil o copar . ciro12 lulalá",1
NathyCouto,2018-09-09 17:53:23-07:00,2018,9,9,17,53,23,Agora vamos ao debate. Quero nem saber de futebol,o o debater . querer futebol,1
stavofxster,2018-09-09 17:55:29-07:00,2018,9,9,17,55,29,assistindo o debate só esperando mais um meme do @cirogomes https://t.co/KF1eCFd4OO,assistir o debater só esperar meme @cirogomes https://t.co/kf1ecfd4oo,1
brunoasgarcia,2018-09-09 17:55:38-07:00,2018,9,9,17,55,38,"A Gazeta sendo Gazeta usando sala de aula como camarim
https://t.co/Yclyj4IRaI",o gazeta gazeta sala aula comer camarim https://t.co/yclyj4irai,-1
ajudanilo1,2018-09-09 17:56:06-07:00,2018,9,9,17,56,6,"A Regina Volpato poderia apresentar o Debate. Gosto dela.

#GazetaEstadaoJP",o regina volpato apresentar o debater . gostar d . gazetaestadaojp,1
PedroFuocoA,2018-09-09 17:56:47-07:00,2018,9,9,17,56,47,"RT @brunoasgarcia: A Gazeta sendo Gazeta usando sala de aula como camarim
https://t.co/Yclyj4IRaI",@brunoasgarcia : o gazeta gazeta sala aula comer camarim https://t.co/yclyj4irai,-1
BrColod,2018-09-09 17:57:00-07:00,2018,9,9,17,57,0,"Com Bolsonaro ausente, o mínimo a ser feito era cancelar o debate ou chamar o vice.

#GazetaEstadaoJP","bolsonaro ausentar , o mínimo o cancelar o debater chamar o viçar . gazetaestadaojp",-1
professorgerman,2018-09-09 17:57:10-07:00,2018,9,9,17,57,10,"RT @cidfgomes: Hoje tem debate! Fique atento, a partir das 18h, na TV Gazeta. Assista e divulgue! #Ciro12 https://t.co/e7st8tOmMV","@cidfgomes : debater ! ficar atentar , o 18h , o tv gazeta . assistir e divulgar ! ciro12 https://t.co/e7st8tommv",1
DivaldoReis11,2018-09-09 17:57:18-07:00,2018,9,9,17,57,18,RT @psol50: Quem aí tá ansioso para mais um show de @GuilhermeBoulos contra os 50 tons de Temer hoje no debate #GazetaEstadaoJP? É a partir…,@psol50 : tá ansioso parir show @guilhermeboulos o 50 tom temer o debater gazetaestadaojp ? o …,1
LauraWXavier,2018-09-09 17:57:59-07:00,2018,9,9,17,57,59,"RT @romullo_araujo: Marina em mais uma oportunidade de mostrar suas propostas para um país mais unido, rumo a um desenvolvimento sustentáve…","@romullo_araujo : marino umar oportunidade mostrar suar proposto parir país unir , rumar o desenvolvimento sustentáve …",1
naschimmith,2018-09-09 17:58:09-07:00,2018,9,9,17,58,9,"Vamos Cirão da Massa. Boa sorte no debate de hoje. 
#Ciro12",cirão massa . sortir o debater . ciro12,1
grazipereiraa,2018-09-09 18:08:53-07:00,2018,9,9,18,8,53,"Infelizmente não poderei estar presente. Mas pra quem puder, acredito ser um bom espaço de debate. https://t.co/EegKRoAL9k","infelizmente presentar . pra , acreditar espaçar debater . https://t.co/eegkroal9k",1
_leoara,2018-09-09 18:08:56-07:00,2018,9,9,18,8,56,Debate domingo 6 da noite parabéns,debater domingo 6 parabém,-1
oscar_swenson,2018-09-09 18:09:03-07:00,2018,9,9,18,9,3,"GERALDO É PAZ, SERIEDADE, COMPETENCIA E FIRMEZA CONTRA BANDIDOS E TERRIVEL CONTRA CORRUPTOS 🇧🇷🇧🇷😎","geraldo paz , seriedade , competencia e firmeza bandido e terrivel corrupto 🇧 🇷 🇧 🇷 😎",1
raphaeu,2018-09-09 18:09:05-07:00,2018,9,9,18,9,5,Alckmin começou muito bem no debate,alckmin começar o debater,1
zuraako,2018-09-09 18:09:08-07:00,2018,9,9,18,9,8,nossa o debate é tão cedo assim?,o debater ceder ?,-1
vitor_rs97,2018-09-09 18:09:10-07:00,2018,9,9,18,9,10,"Caramba, e esse debate que eu nem sabia que ia acontecer? #GazetaEstadaoJP","caramba , e debater acontecer ? gazetaestadaojp",-1
20-Sep,2018-09-09 18:09:14-07:00,2018,9,9,18,9,14,Comecei a assistir o debate e já estou com sono #Eleicoes2018 #GazetaEstadaoJP https://t.co/fbOHva1v28,começar o assistir o debater e sono eleicoes2018 gazetaestadaojp https://t.co/fbohva1v28,-1
lequinhoma,2018-09-09 18:09:21-07:00,2018,9,9,18,9,21,Debate de domingo é um treco caido pa caralho,debater domingo treco caido pa caralho,-1
208robertobruno,2018-09-09 18:09:38-07:00,2018,9,9,18,9,38,"Vai já começar mais uma palestra, ops debate #ciro12 https://t.co/Qknwxfijf4","começar umar palestrar , ops debater ciro12 https://t.co/qknwxfijf4",1
lucas_yankee,2018-09-09 18:09:40-07:00,2018,9,9,18,9,40,"Pra quem estiver interessado, tá rolando debate presidencial na TV GAZETA. #GazetaEstadaoJP","pra interessar , tá rolar debater presidencial o tv gazeta . gazetaestadaojp",1
mdprl,2018-09-09 18:09:57-07:00,2018,9,9,18,9,57,"o debate de hoje tá mais sério, amém","o debater tá sério , amém",1
ToffolettoCatia,2018-09-09 18:09:59-07:00,2018,9,9,18,9,59,Agora outro show de horror : debate político,show horror : debater político,-1
dispensevei,2018-09-09 18:10:58-07:00,2018,9,9,18,10,58,"Sem Bolsonaro, Haddad e Daciolo, esse debate parece ser o primeiro onde se falará mais de propostas do que apenas ataques #GazetaEstadaoJP","bolsonaro , haddad e daciolo , debater parecer o falar proposto ataque gazetaestadaojp",1
CH3COOHipester,2018-09-09 18:10:59-07:00,2018,9,9,18,10,59,"Meu pc travando na hora do debate, que inferno","pc travar o horar debater , infernar",-1
MrioSrgioDaSil7,2018-09-09 18:11:42-07:00,2018,9,9,18,11,42,"Marina Silva, acabou de lamentar a ausência de dois  candidatos, um por estar hospitalizado e outro impedimento jud… https://t.co/DZgGTe47dg","marino silvar , acabar lamentar o ausência candidato , hospitalizar e impedimento jud … https://t.co/dzggte47dg",1
vitorrcz,2018-09-09 18:11:42-07:00,2018,9,9,18,11,42,Debate da Gazeta é muito irrelevante,debater gazeta irrelevante,-1
ofilipequintans,2018-09-09 18:11:44-07:00,2018,9,9,18,11,44,Nesse ritmo esse debate vai terminar depois do segundo turno. #GazetaEstadaoJP,n ritmar debater terminar segundar turno . gazetaestadaojp,-1
caferrinha,2018-09-09 18:11:49-07:00,2018,9,9,18,11,49,Putz perdi o debate.,putz perder o debater .,-1
blowhive,2018-09-09 18:11:54-07:00,2018,9,9,18,11,54,vendo debate aqui de boas,debater,1
jr_smota,2018-09-09 18:12:16-07:00,2018,9,9,18,12,16,Comecou o primeiro debate sem Bozo e ainda sem o PT #GazetaEstadaoJP,comecou o debater bozo e o pt gazetaestadaojp,1
jorkeperalta,2018-09-09 18:13:09-07:00,2018,9,9,18,13,9,assistindo o debate pra passar ódio e esquecer a dor da alma,assistir o debater pra passar ódio e esquecer o dor almo,-1
_notDaniel,2018-09-09 18:43:27-07:00,2018,9,9,18,43,27,ceis são muito animados pra ver debate num pleno domingo,ceis animar pra debater pleno domingo,1
DanielM4G4,2018-09-09 18:46:09-07:00,2018,9,9,18,46,9,"#GazetaEstadaoJP

Que debate atrapalhado e sem ideias ou propostas, apenas há sujeira de todos os lados","gazetaestadaojp debater atrapalhar e ideia proposto , haver sujeira o",-1
JREPiza,2018-09-09 18:46:11-07:00,2018,9,9,18,46,11,RT @IvanValente: Boulos arrasa o banqueiro Meirelles no debate agora na TV.Disse taxativamente que vai acabar c/o bolsa banqueiro e que vai…,@ivanvalente : boulos arrasar o banqueiro meirelles o debater o tv.disse taxativamente acabar c / o bolsar banqueiro e …,1
RodP13,2018-09-09 18:46:15-07:00,2018,9,9,18,46,15,"Debate sem Lula é fraude. E a ONU afirma.

#LulaLivre pelo #OBrasilFelizDeNovo 

""AGORA: Presidenciáveis se enfrent… https://t.co/A2pRWIdnyi","debater lula fraudar . e o onu afirmar . lulalivre pelar obrasilfelizdenovo "" : presidenciáveis enfrent … https://t.co/a2prwidnyi",-1
ThiagoMacinelli,2018-09-09 18:46:22-07:00,2018,9,9,18,46,22,"Infelizmente falta culhões para a mídia fazer o certo. Vivem reclamando que nunca tem gente nova, e quando tem faze… https://t.co/JofcMtN4IG","infelizmente falto culhões parir o mídia o certar . viver reclamar gente , e … https://t.co/jofcmtn4ig",-1
Vegeta_d_Bigode,2018-09-09 18:46:28-07:00,2018,9,9,18,46,28,A APRESENTADORA DESSE DEBATE PARECE QUE SAIU DE UM SARCÓFAGO,o apresentador d debater parecer sair sarcófago,-1
bbeella__,2018-09-09 18:46:47-07:00,2018,9,9,18,46,47,cirão da massa mandando um latim no debate enquanto profissional do Direito kkkk estranho seria caso contrário fosse,cirão massa mandar latim o debater profissional direito kkkk estranhar seriar casar contrário,1
koreivo,2018-09-09 18:46:47-07:00,2018,9,9,18,46,47,"Marina, dizer que PT é igual ao PSDB assaltando Petrobras, Caixa, Correios, Banco do Brasil, BNDES não é correto. Q… https://t.co/EAPQMfXZrd","marino , pt igual o o psdb assaltar petrobras , caixa , correio , banco brasil , bndes corretar . q … https://t.co/eapqmfxzrd",-1
leandroconexao,2018-09-09 18:46:48-07:00,2018,9,9,18,46,48,"Esse debate tá até coerente sem o Bozonaro. 
#GazetaEstadaoJP",debater tá coerente o bozonaro . gazetaestadaojp,1
eudoardasapatao,2018-09-09 18:46:49-07:00,2018,9,9,18,46,49,pelo bem da minha saúde mental não irei assistir o debate,pelar saudar mental irar assistir o debater,1
lannanormando1,2018-09-09 18:46:50-07:00,2018,9,9,18,46,50,"RT @feiipes: Como é bom assistir um debate sem o Bolsonaro e o Cabo Daciolo. Sem delírio, falta de educação e absurdos que não fazem sentid…","@feiipes : comer assistir debater o bolsonaro e o cabo daciolo . delírio , falto educação e absurdo sentid …",1
bah_cagay,2018-09-09 18:46:50-07:00,2018,9,9,18,46,50,"Não existe nada mais gostoso no debate do que ver o Ciro gesticulando.

Que coisa mais fofa e gostosa de se ver.",existir nado gostoso o debater o ciro gesticular . fofo e gostoso .,1
TreTaless,2018-09-09 18:46:52-07:00,2018,9,9,18,46,52,Ciro Gomes dando aula de direito penal no debate!! #Ciro12 #CiroPresidente12 #CiroNo2Turno #GAZETAESTADAOJP,ciro gomar aula direito penal o debater ! ! ciro12 ciropresidente12 cirono2turno gazetaestadaojp,1
ninfadodelirio,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,vendo esse debate cada vex q o ciro abre a boca eh um tiro no meu cuuuewjwehkefbjqebkfblqlfjqqjv,debater vex q o ciro abrir o bocar eh tirar o cuuuewjwehkefbjqebkfblqlfjqqjv,-1
soucleverton,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,"Cansei do debate, coloquei na @GloboNews","cansar debater , colocar o @globonews",-1
RPU20,2018-09-09 18:46:54-07:00,2018,9,9,18,46,54,Ciro e Boulos salva-se apenas,ciro e boulos salvo -,1
PretiVill,2018-09-09 18:46:56-07:00,2018,9,9,18,46,56,@alvarodias_ Debate sem Bolsonaro e Mourão é golpe....,@alvarodias _ debater bolsonaro e mourão golpe ....,-1
lovekatypurry,2018-09-09 18:46:59-07:00,2018,9,9,18,46,59,"Acho que se eu fosse candidato, e o mediador me interrompesse no debate, eu tacaria o púlpito na cara dele. DEIXA O POVO FALAR DESGRAÇA!","achar candidatar , e o mediador interromper o debater , tacar o púlpito o caro d . deixar o falar desgraçar !",-1
dieg0_hernandez,2018-09-09 18:46:59-07:00,2018,9,9,18,46,59,"Cirão se saindo muito bem no Debate !!!!!
#Ciro12
 
#GazetaEstadaoJP",cirão sair o debater ! ! ! ! ! ciro12 gazetaestadaojp,1